Rill,Fake,greedy,dp,selisih
menyembilu,menyemlu,4,2,2
keengganan,tyengganang,4,3,1
instalatir,ninhstalactir,13,3,10
menalarkan,menjwlarjan,3,3,0
transpria,trainspriv,2,2,0
sup,up,1,1,0
milimikron,miiimikron,8,1,7
tenggiling,ftenggiling,1,1,0
spektograf,sektograj,2,2,0
mengambili,mengamio,3,3,0
berimbuhan,erimbxuhn,3,3,0
berkuku,berkuks,1,1,0
parah,pasah,1,1,0
asimetris,asimetri,1,1,0
pengungkit,pegunguit,2,2,0
tambatan,tambaaln,2,2,0
kentum,kenjmf,3,3,0
penyelinap,oenyeilinap,7,2,5
kepetangan,kepetangn,1,1,0
tempayan,tempayan,0,0,0
bank,batk,1,1,0
sedia,siedya,2,2,0
monokotiledon,monokotledon,1,1,0
wajah,ajahzf,3,3,0
kelalah,kopelalach,7,3,4
puluh,punh,2,2,0
hemostasis,hemostasiqs,1,1,0
salsa,saylsa,1,1,0
sofa,soxa,1,1,0
keastronomian,keastornompan,3,3,0
keserasian,kessaoian,3,3,0
lembur,embur,1,1,0
kemilap,kpmlp,3,3,0
are,ark,1,1,0
ultrasonik,utrasonik,1,1,0
menyeruduk,mecnyeruduk,1,1,0
menganggalkan,menganugakan,3,2,1
beriktikad,beriktimd,2,2,0
unting-unting,untng-uncvting,7,3,4
sambang,ambang,1,1,0
seksofobia,soksazofobia,8,3,5
barahan,bahan,4,2,2
hepatologi,htefatolog,3,3,0
undak,uhdak,1,1,0
mendongkolkan,mendongjolkn,2,2,0
perjanjian,poerjajin,3,3,0
peseluncur,peseunpcur,2,2,0
bersengaja,bersengaj,1,1,0
koprofilia,koprfiiliva,6,3,3
sewot-sewotan,sewot-sewxot,3,3,0
subirigasi,subirhgasi,1,1,0
pengekiran,pengvkiran,1,1,0
secanggung,seuaznggungu,3,3,0
memperdiarkan,mempexdiarkan,1,1,0
bonus,bous,1,1,0
sampling,samepqing,2,2,0
menguarkan,mengparkan,1,1,0
superdamai,sperdamai,1,1,0
cabak,cabzk,1,1,0
,ana,3,3,0
mencencang,mencscang,2,2,0
bersesaran,beruesaakan,5,3,2
belengkong,bbelegkdng,3,3,0
kedengkian,khmdengkian,2,2,0
mencangkel,mencangknl,1,1,0
penjegalan,penjegala,1,1,0
mayat,mayoatl,2,2,0
gunung-ganang,gunung-ganlang,1,1,0
bea,eca,2,2,0
penyelundupan,penyelundutan,1,1,0
amerospora,ameospora,1,1,0
blalo,yslaloh,3,3,0
kerjang,ierjang,1,1,0
transenden,transendien,1,1,0
suasana,esuasana,1,1,0
alamatulhayat,aliamatulhkayat,2,2,0
bambu,bamqu,1,1,0
bertanggal,bortangoal,2,2,0
mengunting,xengunting,1,1,0
simpuh,biouh,3,3,0
membawangi,mmbawtawngi,3,3,0
cerdik,cetrdik,1,1,0
pengarantinaan,pengorantnkan,4,3,1
meningkahi,muingkahx,3,3,0
tundaan,tunaan,1,1,0
zoosporangium,zoosprangium,1,1,0
tentara,kenara,2,2,0
membelalak,membllalakp,6,2,4
berakurasi,bnerakurasi,1,1,0
bernantian,bernaztiran,2,2,0
keruit,jerluin,3,3,0
pelor,eeor,2,2,0
pensiun,plensdun,2,2,0
selera,szlea,2,2,0
senantiasa,senawatiaaa,4,3,1
selenosistein,seelensistein,4,2,2
nonvolatil,cnnvolatgl,3,3,0
lanjutan,lanjujan,1,1,0
radio,rfadic,2,2,0
sebab,sebpc,2,2,0
pembenaran,pembnaradn,2,2,0
kirna,kivrpa,2,2,0
menyiarkan,genyiartkan,2,2,0
kebul,kejbul,1,1,0
kering-kering,kering-xkering,1,1,0
memboncengkan,membonrcengkan,1,1,0
populasi,populcsi,1,1,0
mafia,afai,3,3,0
membersamakan,memberajamakn,4,3,1
kerah,kerwh,1,1,0
kraniologi,kaniologi,1,1,0
hemodilusi,hemodijqusi,2,2,0
salamander,sqalamyander,2,2,0
pengartian,pengartign,1,1,0
sesebentar,seeebentar,8,1,7
hutan,hutaen,1,1,0
seks,syeoo,3,3,0
permata,peemat,2,2,0
memperanakkan,memperaakkan,1,1,0
pengamanan,pengaqmana,2,2,0
berdinding,lberdindng,2,2,0
tercederai,tercederaqc,2,2,0
lepas,oepaz,2,2,0
tahap,otkhqp,3,3,0
bersambang,bqbsambang,2,2,0
hidroselulosa,hidrolseutosa,3,3,0
kabar,zaar,2,2,0
pengalir,ngalim,8,3,5
kacong,kaccont,2,2,0
pancawarsa,pancajwarwsm,3,3,0
berkapur,bekapur,1,1,0
perangkat,erangqac,3,3,0
kretinisme,kretinisme,0,0,0
gerunggung,gjerunggung,1,1,0
tersandang,tersandaxg,1,1,0
wilwatikta,wiwatiktak,2,2,0
demografis,demografiz,1,1,0
desalinasi,esaoiasi,3,3,0
pembunuhan,pemjunuhan,1,1,0
tabel,tavoel,2,2,0
senonoh,senfoh,4,2,2
tanur,tinur,1,1,0
balon,jaon,2,2,0
berkafeina,berkafena,1,1,0
mentik,entik,1,1,0
genetika,netika,7,2,5
mabuk-mabukan,mbkmabukan,3,3,0
anisodaktil,ansodaktilu,2,2,0
bulus,buls,1,1,0
pisang,pisong,1,1,0
pemrosesan,ipemrosesan,1,1,0
gedana-gedini,gedana-gediti,1,1,0
menyinggir,mnyhinggir,2,2,0
bahaya,bahay,1,1,0
spons,uonts,3,3,0
menurbakan,ejnurhakan,3,3,0
oligark,oligark,0,0,0
menyerukan,menyerpukrmn,3,3,0
laktoserum,laktohserum,1,1,0
rengrengan,ryngrrengan,2,2,0
keterpampatan,keterpawpaany,3,3,0
ekshibisionis,ekshibisionyis,1,1,0
mencurigai,menurigai,1,1,0
autobiopik,autobjiopik,1,1,0
menurun,menjirun,2,2,0
konstipasi,konstipasi,0,0,0
biparental,biparetml,2,2,0
ketetapan,ketetapn,1,1,0
kula,uc,3,3,0
teleofobia,telekfobia,1,1,0
berputar,berptar,1,1,0
keglamoran,keglamflan,2,2,0
memulaukan,memultukan,1,1,0
memersuasi,cemerslasi,2,2,0
mentera,mhanterab,3,3,0
sfigmograf,fivmgraf,3,3,0
menajamkan,menajamane,2,2,0
menyuarkan,menyhrkan,2,2,0
bertanda,beptanda,1,1,0
menyanggul,minyangul,2,2,0
gatra,egafta,3,3,0
proxima,poxivma,2,2,0
moralistis,mozraists,3,3,0
gerama,geramae,1,1,0
gusti,guosti,1,1,0
sunti,sumntpi,2,2,0
menyerkapi,meknyerkap,2,2,0
penggiling,penggilng,1,1,0
perlangsungan,pelangsungsne,3,3,0
memegalkan,mqemfwegalkan,10,3,7
gerigi,gcigi,2,2,0
pengawinan,pqgatinan,3,3,0
penggarang,penggarane,1,1,0
direksi,airekt,3,3,0
beririgasi,beririgasi,0,0,0
penguncian,penguntian,1,1,0
pengerjaan,pengerjan,1,1,0
kangkareng,kngkajrng,3,3,0
perulangan,perulanngan,1,1,0
menggelimangi,menggwtelimangi,10,2,8
kemudian,kkmudqin,3,3,0
haute,hdaoute,2,2,0
balabua,balhbu,2,2,0
tunatenaga,tunatenag,1,1,0
radarsonde,rapdarspnde,2,2,0
vokalisasi,okalisqasi,2,2,0
mencuarkan,mencuarkaln,1,1,0
baja,baj,1,1,0
pelansiran,deansijan,3,3,0
wasana,waana,1,1,0
awetan,awetrran,4,2,2
kamirawaan,kamirawan,1,1,0
menakurkan,menakulrka,2,2,0
standardisasi,statndyrdisasi,2,2,0
menjerangkang,bewnjerangkang,2,2,0
kesetimbangan,kesetimeengan,2,2,0
kerinci,krsni,3,3,0
ketaksetujuan,etaksetpjuan,2,2,0
kuning,nuzing,2,2,0
rancu,txcu,3,3,0
balerino,baerixm,3,3,0
cengkolong,sgengkoklong,3,3,0
meluar,melua,1,1,0
fonemis,fonemi,1,1,0
tertular,wertuvarg,3,3,0
mengerepas,mengeeprs,2,2,0
konduktans,kontrktans,2,2,0
kearab-araban,kearab-araba,1,1,0
kanada,kadwa,4,3,1
nekrofilia,nekrfimiav,3,3,0
tas,abs,2,2,0
klasik,kxsik,2,2,0
fitoremediasi,fitoeemeixasi,5,3,2
paradoksal,vparadoksal,1,1,0
menyusukan,menbusukan,1,1,0
berperabot,bearperaot,2,2,0
morfofonologi,morfofonolgi,1,1,0
wagon,wgn,2,2,0
kaji,fraji,2,2,0
melipurkan,melipuzrkan,1,1,0
mengijabahkan,mengbjabahkan,1,1,0
ainulyakin,ainuyakid,2,2,0
mencekukan,menekukopn,3,3,0
tabii,tbii,1,1,0
rekompensi,xrekowpensi,2,2,0
ketang,ktetany,6,2,4
tolak-menolak,tolakcenolk,3,3,0
bermenantukan,bermenakntukan,1,1,0
hierofobia,hierofbia,1,1,0
gundah,guda,2,2,0
rafinasi,roafunasi,2,2,0
kegunungapian,kegunungapan,1,1,0
mengulur-ulur,mengulur-jlr,2,2,0
gemuk,gemeuk,1,1,0
mencengkam,menyengkpm,2,2,0
hidrometer,hqdrocetr,3,3,0
nitrometer,nitrometqer,1,1,0
fitosterol,ffosterl,3,3,0
perlebahan,perlebahap,1,1,0
berkonspirasi,berkonoepiras,3,3,0
nirkoneksi,nirkonevsi,1,1,0
sutra,utra,1,1,0
salamander,sblamander,1,1,0
memasang,mprmasang,2,2,0
antihemoragik,anihemoragiku,2,2,0
redaksi,reai,4,3,1
berikhtiar,berikdtimer,3,3,0
menyoalkan,menaoalkan,1,1,0
sedelegasi,sedelegsi,1,1,0
perekrutan,perkrrtlan,3,3,0
daktilitas,dbaktititas,2,2,0
semi,scemi,1,1,0
berpikauan,merpikatuan,2,2,0
memori,mymori,1,1,0
tulis,tulijs,1,1,0
guakamole,gukahole,2,2,0
penyandang,enyanjdanx,3,3,0
dolma,olr,3,3,0
sinterklas,siterls,3,3,0
ekspor,eswporo,3,3,0
barotropik,bartrpie,3,3,0
hukuman,hukumn,1,1,0
berguselan,brgbselan,2,2,0
inventaris,ignventarit,2,2,0
supersaturasi,supesagturrsi,3,3,0
alari,alarid,1,1,0
sambao,smmbato,3,2,1
hampir-hampir,hampirhapi,3,3,0
pengoperasian,pengperaian,2,2,0
wawansabda,wwansabya,2,2,0
terlupakan,erlukpakan,2,2,0
neurokimia,nearokimia,1,1,0
in,kijs,3,3,0
tergelebar,tergelebr,1,1,0
penjarakan,pejrakn,3,3,0
rendezvous,rexndezfous,2,2,0
mewiridkan,mewiriedkbabn,3,3,0
terpelecok,gtwerpelecok,2,2,0
bayu,ayva,3,3,0
alih,lrv,3,3,0
membonceng,mqembonceng,1,1,0
cetok,cetoqk,1,1,0
histerospasme,hsterospasm,2,2,0
laktat,laktth,2,2,0
keberadaan,kmeberdaanu,3,3,0
multimilioner,muctimilioaner,2,2,0
mengompensasi,mqngompensask,2,2,0
atmosferis,atmosferips,1,1,0
itik,itrik,1,1,0
nilai,nskilaci,7,3,4
kebanjiran,kebsnjiran,1,1,0
terintimidasi,terintimkdas,2,2,0
romawi,romawc,1,1,0
mengopak-apik,engoptahk-apik,3,3,0
sengsara,enzsaya,3,3,0
menalarkan,menalrrkan,2,1,1
elektron,eclekzrcn,3,3,0
intramuskuler,intramuskulr,1,1,0
sinau,asiaum,3,3,0
kejap,kceap,2,2,0
emisivitas,emisivitn,2,2,0
bersalju,bersarlju,1,1,0
berleleran,brlnemeran,3,3,0
rambut,rambjquft,5,3,2
invaginasi,ifnvginasi,2,2,0
memakamkan,mmakmkan,2,2,0
hidrofitik,hijdoofitik,3,2,1
agamandroesis,agamadrosis,2,2,0
memperbedakan,mejperbedaan,2,2,0
kenetralan,keptrlan,3,3,0
karan,kamsn,2,2,0
kuadriliun,kuasriliun,1,1,0
minimal,minimar,1,1,0
angkatan,angat,3,3,0
beras,behes,2,2,0
historiografi,hstoriogrnfi,2,2,0
mengernyitkan,zengernytkan,2,2,0
koreng-koreng,kyoreng-kovueng,3,3,0
kongko-kongko,kongko-kobgko,1,1,0
nidifikasi,dnidifiasi,2,2,0
ilustratif,ilustratrf,1,1,0
paleontografi,paloonograi,4,3,1
parasomnia,palasodnia,2,2,0
berkekurangan,belkekurangan,1,1,0
keledek,kelepde,2,2,0
kobra,kobkra,1,1,0
beralangan,baeralanga,2,2,0
bersikejar,berqsikejar,1,1,0
membayangi,meumbayuangi,2,2,0
pentrompet,entoompet,3,2,1
passu,agsu,3,2,1
jenis,jnids,2,2,0
mencungkil,mencungil,1,1,0
menyinggahkan,menyinggan,4,3,1
bertasawuf,bevtasauf,2,2,0
prakonseptual,prkkonsepcual,3,2,1
bertutur,brtutur,1,1,0
eksostosis,ekqostsis,2,2,0
peking,peknng,2,1,1
elektron,elrktrojn,2,2,0
busuk,busk,1,1,0
pencabulan,encabulan,1,1,0
menggelongsor,menggelongsorm,1,1,0
neon,neop,1,1,0
dewata,zewata,1,1,0
seladang,eladang,1,1,0
jantung,jaftung,1,1,0
sikap,sikrp,1,1,0
bertasawuf,bertararwuf,2,2,0
gelok,gebloku,2,2,0
menahankan,mahankan,7,2,5
serunai,serunwai,1,1,0
pembuluh,pzbzuluh,3,3,0
bau,a,2,2,0
porogapit,peroapit,2,2,0
sapaan,sahupaan,4,2,2
celingukan,celngupanu,3,3,0
involunter,imoluter,3,3,0
menurutkan,enurtkn,3,3,0
ulang,langw,2,2,0
stenoid,snid,6,3,3
kepeningan,keseningn,2,2,0
timbun,dtimbu,2,2,0
pendolaran,pfendolran,2,2,0
abioseston,abioseston,0,0,0
usiran,siraln,2,2,0
lagi,lby,3,3,0
guakamole,ggwakamole,2,2,0
mengencani,mengencanhi,1,1,0
menyedekahkan,enyedekahkaknn,3,3,0
pimpinan,pmpinan,1,1,0
gisi,dgsi,2,2,0
wakil,wakyivl,2,2,0
campanilla,campanilla,0,0,0
pembungaan,penuunglaan,4,3,1
pemuntahan,peemntahaxn,3,3,0
lenglengan,leniglngan,2,2,0
pengikisan,pengikistan,1,1,0
pelinting,velyting,3,3,0
menyanggul,zenxnggul,3,3,0
spirometer,spiromter,1,1,0
bertakziah,bertakzia,1,1,0
berbincang,berbisncang,1,1,0
mipan,ismipyan,8,3,5
gede,gedqe,1,1,0
kalau,kalc,2,2,0
penggandar,pggandae,4,3,1
menokok,menokmok,1,1,0
papiong,papwoug,2,2,0
barunawati,barunadwati,1,1,0
mencampung,jewdcampung,3,3,0
akreditasi,akredtasi,1,1,0
menyemprit,meyfxprit,3,3,0
zadah,zazdah,1,1,0
membesituakan,mimbesituukan,2,2,0
bergelegar,ergelegr,2,2,0
mengoleksi,mhgofleksi,3,3,0
royong,paroyog,5,3,2
cloze,clozze,1,1,0
psikobiologis,psiobhologi,3,3,0
kencana,fencadna,2,2,0
geomagnetisme,geomagcnetis,3,3,0
tersanjung,trsanjuag,2,2,0
kuping,kupig,1,1,0
sinetron,sinotro,2,2,0
sepukal,sepuyal,1,1,0
stereomorf,nstereomorf,1,1,0
analis,anulis,1,1,0
terlonsong,terldaxsong,3,3,0
fotokonduktor,fwtokopnduktor,2,2,0
autohtonus,autohtwnus,1,1,0
lajak,sajaek,2,2,0
pengelaman,pengelvamasn,2,2,0
bonggas,boggas,1,1,0
tidak,tia,2,2,0
jahat,jeahat,1,1,0
siberfobia,sidberoobia,3,2,1
bibliofili,bibiili,5,3,2
timpa-menimpa,tizmpa-menimpa,1,1,0
persumbuan,persuembuab,2,2,0
berkoridor,verkmridor,2,2,0
tedung,tedoung,1,1,0
muwalad,adwalad,2,2,0
bekal-bekalan,bekmal-bekalan,1,1,0
laik,gsack,3,3,0
pengiritan,pengiritan,0,0,0
atos,asts,2,2,0
mengimbasi,mengimasi,1,1,0
diskulpasi,diiskulasi,2,2,0
wijayamala,wijayamalta,1,1,0
penahbisan,penapbisan,1,1,0
melapikkan,elapmigkkan,3,3,0
penggoyang,menggpyangz,3,3,0
milik,mimi,2,2,0
isorapatan,isoratpatan,1,1,0
gelutak,elutak,1,1,0
tabel,tfyel,2,2,0
berpepatah,beriepatah,1,1,0
merebahkan,mehrseahkan,3,3,0
pasung,wasunl,2,2,0
polialfabetik,polzalfabetik,1,1,0
wangi-wangian,angf-wangian,2,2,0
berknalpot,berknalpoht,1,1,0
ambang,mkban,3,3,0
punggung,unggung,1,1,0
amfolitoid,amyolitoid,1,1,0
bersongkok,bksongok,3,3,0
kecambah,kexcambh,2,2,0
pengornamenan,pengornamznran,2,2,0
konstatasi,konstatasf,1,1,0
latih,laeiha,2,2,0
polisi,ptoli,3,3,0
gemulai,pemlulxai,7,3,4
kemurtadan,kwmurtadan,1,1,0
peranginan,peragnoinanc,7,3,4
kolinesterase,kolineosteraase,2,2,0
rencong,rencopg,1,1,0
minuman,minfmanz,2,2,0
menanggang,menaanggang,1,1,0
kemopsikiatri,kkemopsikiatrim,2,2,0
dekomposer,dekompowcr,2,2,0
antiaglutinin,aniaglutinin,1,1,0
bangkai,bngkai,1,1,0
enepur,enepir,1,1,0
penyapihan,mpenapihan,2,2,0
oncoran,caoran,3,3,0
kasi,gkasgj,3,3,0
berjanggut,berjzangut,2,2,0
menggonyel,mnggomnyem,3,3,0
kurban,urban,1,1,0
inisiatif,inissatif,1,1,0
behel,cehel,1,1,0
penyusulan,penrusylan,2,2,0
bedah,bedsh,1,1,0
wangkis,wagkis,1,1,0
bergunjing,qergunjizg,2,2,0
ommezijde,omezzijde,2,2,0
epitelioma,epitelcioma,1,1,0
perotasian,perokasiane,2,2,0
rasio,rasrio,1,1,0
magnifiken,magnfikaz,3,3,0
melungsung,meungsung,1,1,0
cerca,scercyj,3,3,0
uang,us,3,3,0
pembobotan,pembobotan,0,0,0
penandukan,penbnbkan,3,3,0
salam,sazam,1,1,0
kecimpring,khcimprng,2,2,0
bronat,bryat,2,2,0
realis,reaglic,2,2,0
tembak,tebyak,2,2,0
menuntut,menuwntut,1,1,0
menjambret,megnjambrset,2,2,0
vaginismus,vagbinismus,1,1,0
menciumkan,meniumkan,1,1,0
jangan,angn,2,2,0
permeabilitas,permepabilitas,1,1,0
payakumbuh,payaklmsbuh,2,2,0
deodoran,djodorban,2,2,0
dendrologi,denudrologi,1,1,0
mekah,mtaha,3,3,0
sulalah,sulatlah,1,1,0
suplemen,suplnen,4,2,2
mendendami,mendendjtmi,2,2,0
magi,qmrgt,3,3,0
jute,puite,2,2,0
penggandengan,pengandengau,2,2,0
kebaharian,kebahariyan,1,1,0
harakat,harvkat,1,1,0
kemuskilan,ukemsklan,3,3,0
mariologis,sariologig,2,2,0
kifoskaliosis,kifvskaliois,2,2,0
koordinasi,krdinasf,9,3,6
menganiaya,mengxniaya,1,1,0
syukran,syulnkruan,7,3,4
sitasi,siosi,2,2,0
tiga,iga,1,1,0
turbiditas,tvrbidigtat,3,3,0
lelah,lenelh,3,3,0
oftalmoplasti,oftalwmoplascti,2,2,0
menggerutu,aekggerutu,2,2,0
menara,mepnaray,2,2,0
sinistrofobia,sinistrofnobia,1,1,0
pengasapan,pengasan,3,2,1
adrenalina,adrxnalina,1,1,0
laktat,laktt,1,1,0
enim,unim,1,1,0
reprositas,reprojsitas,1,1,0
bodong,bodog,1,1,0
parataksis,pbartaksis,2,2,0
mencermati,mekceratq,3,3,0
menggundahkan,eznggundahkan,2,2,0
ginjal,ggnjal,1,1,0
resam,resaf,1,1,0
biolinguistik,biolinuguiszik,8,2,6
huni,wutuni,5,3,2
bertemperamen,bertemeriamen,2,2,0
mengelepai,menwgeepaa,3,3,0
penyehatan,penyehatin,1,1,0
penculikan,pjnculikxan,2,2,0
bertangkar,berangkar,1,1,0
pembobotan,pembobotn,1,1,0
fitoakumulasi,rfitoakjmulasi,2,2,0
mengindeks,mengindkks,2,1,1
gudang,gudancg,1,1,0
bersisalak,birsisaecak,3,3,0
penghunian,pengunian,1,1,0
inseminasi,ifnsleminasi,2,2,0
sulung,edulng,3,3,0
penyempadanan,penyelmpaann,3,3,0
berlekatan,belekamtan,2,2,0
menciutkan,meciutan,2,2,0
bertamadun,fertamadun,1,1,0
bersanding,bersandfng,1,1,0
pemeluk,pemeukv,2,2,0
vulkanik,viulkanoipk,3,3,0
penjejalan,penjejalaxq,2,2,0
nonbendawi,nonbeqdawi,1,1,0
menyemprotkan,menpemprodan,3,3,0
kitabullah,kitabuelabf,4,3,1
meninjukan,meinjukkan,2,2,0
harimau,arimau,1,1,0
penghantam,penhantoam,2,2,0
sulforafan,sforafn,9,3,6
menginvasi,denginasri,3,3,0
abadi,abadu,1,1,0
kedewataan,eduwatkan,4,3,1
tangki,tagki,1,1,0
negara,ewwra,3,3,0
berpacaran,kberpacaa,3,3,0
menyelusuh,mbnyeluesuh,2,2,0
telefilm,tmelfidm,3,3,0
gebyar-gebyar,gebyar-gebyknar,4,2,2
badal,bpdd,3,3,0
administratur,rdministtur,6,3,3
siklon,siklfn,1,1,0
rejang,rejvang,1,1,0
peluas,pils,4,3,1
majakeling,manjakelng,2,2,0
pemangsaan,pemangsaun,1,1,0
gelatinisasi,gelatiniswasi,1,1,0
kapi,kpw,2,2,0
pengeksekusian,pyngekseusian,2,2,0
mengetuk,mengntvkd,3,3,0
anemometer,vaniemometer,2,2,0
saproplankton,saproplankon,1,1,0
hipertonik,hipegrtonik,1,1,0
sawo,saowho,4,2,2
runjung,ruwhunz,3,3,0
penyeruduk,penyerduk,1,1,0
melezatkan,xmeezatkn,3,3,0
pencekikan,pencekikanl,1,1,0
sebetulnya,sejtulnyg,3,3,0
pernyataan,pexrnyataan,1,1,0
menubuhkan,enubuhkan,1,1,0
memberangi,memberangii,1,1,0
aeropolis,aekopolis,1,1,0
pelaku,pelavu,1,1,0
kebohongan,kebohqongln,2,2,0
gemelugut,gzmelugut,1,1,0
menimbrung,menimbrug,1,1,0
meringking,merinhgkinkg,2,2,0
keseakanan,kesakanap,2,2,0
neofeodalisme,nveofeoalitsme,3,3,0
pencepatan,pencepatank,1,1,0
leksikografis,lekskografis,1,1,0
metanefros,etaneqrps,3,3,0
autoerotis,adtkerotis,2,2,0
di,vui,2,2,0
mematokkan,mematokkwan,1,1,0
vivendi,ovivenvi,2,2,0
pungak-pinguk,pczungak-pinguk,14,2,12
hipsifobia,hipsifbha,2,2,0
pengaduk,pengauvk,2,2,0
berumahkan,byrumahkabx,3,3,0
polihedral,polihedrl,1,1,0
bersemayam,bersytmayam,2,2,0
memintakan,emntakan,2,2,0
merbau,merbamu,1,1,0
stipendium,stpeniumr,3,3,0
cadangan,scadangan,1,1,0
pelacak,placak,1,1,0
sandi,sfagd,3,3,0
gempul-gempul,yevmul-gempul,3,3,0
mongolisme,mngolisce,2,2,0
hipertrofi,hipertrofpi,1,1,0
kesastraan,kjesastraanu,2,2,0
pencacah,pencapcah,1,1,0
menambungi,mesawbungi,2,2,0
notifikasi,knotifiasi,2,2,0
hidraulik,hidrauiik,2,1,1
termeterai,termeteaix,2,2,0
menelegram,meneegra,2,2,0
bersia-sia,bersia-sic,1,1,0
terowongan,terowongga,2,2,0
bergayutan,sbergayutan,1,1,0
partikulat,partikuliat,1,1,0
mikrofon,mirfons,3,3,0
renzina,rmnzinaq,2,2,0
kristalosa,krostalosaf,2,2,0
deaktivasi,deaktivasv,1,1,0
